contestId,index,name,tags,rating,solvedCount
2096,G,Wonderful Guessing Game,"['bitmasks', 'constructive algorithms', 'interactive']",3200,278
2096,F,Wonderful Impostors,"['data structures', 'implementation', 'two pointers']",3100,340
2096,E,Wonderful Teddy Bears,"['greedy', 'implementation', 'sortings']",2400,1675
2096,D,Wonderful Lightbulbs,"['combinatorics', 'constructive algorithms', 'math']",2000,4493
2096,C,Wonderful City,"['dp', 'implementation']",1700,6370
2096,B,Wonderful Gloves,"['greedy', 'math', 'sortings']",1100,14248
2096,A,Wonderful Sticks,"['constructive algorithms', 'greedy']",800,18540
2094,H,La Vaca Saturno Saturnita,"['binary search', 'brute force', 'math', 'number theory']",1900,2847
2094,G,Chimpanzini Bananini,"['data structures', 'implementation', 'math']",1700,5898
2094,F,Trulimero Trulicina,['constructive algorithms'],1600,8646
2094,E,Boneca Ambalabu,['bitmasks'],1200,14739
2094,D,Tung Tung Sahur,"['greedy', 'strings', 'two pointers']",1100,18614
2094,C,Brr Brrr Patapim,['math'],900,24358
2094,B,Bobritto Bandito,"['brute force', 'constructive algorithms']",800,26893
2094,A,Trippi Troppi,['strings'],800,41033
2093,G,Shorten the Array,"['binary search', 'bitmasks', 'data structures', 'dfs and similar', 'greedy', 'strings', 'trees', 'two pointers']",1900,2777
2093,F,Hackers and Neural Networks,"['bitmasks', 'brute force', 'greedy']",1800,4965
2093,E,Min Max MEX,"['binary search', 'brute force', 'greedy']",1500,10862
2093,D,Skibidi Table,"['bitmasks', 'implementation']",1400,10448
2093,C,Simple Repetition,"['math', 'number theory']",1000,25705
2093,B,Expensive Number,"['greedy', 'math']",900,26137
2093,A,Ideal Generator,['math'],800,34962
2092,F,Andryusha and CCB,"['brute force', 'constructive algorithms', 'greedy', 'math', 'number theory', 'strings']",2900,323
2092,E,She knows...,"['combinatorics', 'constructive algorithms', 'graphs', 'math']",2100,2971
2092,D,Mishkin Energizer,"['brute force', 'constructive algorithms', 'greedy', 'implementation', 'strings']",1800,5668
2092,C,Asuna and the Mosquitoes,"['constructive algorithms', 'greedy', 'math']",1200,19078
2092,B,Lady Bug,"['brute force', 'constructive algorithms', 'implementation', 'math']",1000,21003
2092,A,Kamilka and the Sheep,"['greedy', 'math', 'number theory', 'sortings']",800,25620
2091,G,Gleb and Boating,"['brute force', 'constructive algorithms', 'data structures', 'dp', 'graphs', 'greedy', 'math', 'number theory', 'shortest paths']",2300,1252
2091,F,Igor and Mountain,"['binary search', 'brute force', 'dp']",1800,5165
2091,E,Interesting Ratio,"['brute force', 'math', 'number theory', 'two pointers']",1300,16524
2091,D,Place of the Olympiad,"['binary search', 'greedy', 'math']",1200,19806
2091,C,Combination Lock,"['constructive algorithms', 'greedy']",1000,24641
2091,B,Team Training,"['dp', 'greedy', 'sortings']",800,28996
2091,A,Olympiad Date,"['greedy', 'strings']",800,34887
2090,C,Dining Hall,"['data structures', 'greedy', 'implementation', 'sortings']",1700,5172
2090,B,Pushing Balls,"['brute force', 'dp', 'implementation']",1000,13764
2090,A,Treasure Hunt,"['implementation', 'math']",800,18295
2089,E,Black Cat Collapse,[],3500,92
2089,D,Conditional Operators,['constructive algorithms'],3200,131
2089,C2,Key of Like (Hard Version),"['dp', 'math', 'probabilities']",3100,179
2089,C1,Key of Like (Easy Version),"['dp', 'games', 'math', 'probabilities']",2200,1043
2089,B2,Canteen (Hard Version),"['binary search', 'data structures', 'dp', 'flows', 'greedy', 'two pointers']",2300,997
2089,B1,Canteen (Easy Version),"['binary search', 'data structures', 'flows', 'greedy', 'two pointers']",1900,2412
2089,A,Simple Permutation,"['constructive algorithms', 'number theory']",1700,5784
2086,F,Online Palindrome,"['brute force', 'constructive algorithms', 'interactive']",3000,102
2086,E,Zebra-like Numbers,"['bitmasks', 'brute force', 'constructive algorithms', 'dfs and similar', 'dp', 'greedy', 'math']",2400,1265
2086,D,Even String,"['brute force', 'combinatorics', 'dp', 'math', 'strings']",1700,6597
2086,C,Disappearing Permutation,"['dfs and similar', 'dp', 'dsu', 'graphs', 'greedy', 'implementation']",1300,13392
2086,B,Large Array and Segments,"['binary search', 'brute force', 'greedy']",1100,16668
2086,A,Cloudberry Jam,['math'],800,29393
2085,F2,Serval and Colorful Array (Hard Version),"['data structures', 'greedy']",2900,310
2085,F1,Serval and Colorful Array (Easy Version),"['data structures', 'greedy']",2600,548
2085,E,Serval and Modulo,"['constructive algorithms', 'math', 'number theory']",2200,2563
2085,D,Serval and Kaitenzushi Buffet,"['data structures', 'graph matchings', 'greedy']",2000,4245
2085,C,Serval and The Formula,"['bitmasks', 'constructive algorithms', 'dp', 'greedy']",1600,11014
2085,B,Serval and Final MEX,"['constructive algorithms', 'implementation']",1200,14656
2085,A,Serval and String Theory,"['constructive algorithms', 'implementation']",900,20527
2084,H,Turtle and Nediam 2,"['dp', 'greedy']",3500,67
2084,G2,Wish Upon a Satellite (Hard Version),"['data structures', 'dp']",3500,69
2084,G1,Wish Upon a Satellite (Easy Version),"['dp', 'games']",2600,515
2084,F,Skyscape,"['constructive algorithms', 'data structures', 'greedy']",2900,331
2084,E,Blossom,"['binary search', 'combinatorics', 'dp', 'implementation', 'math', 'two pointers']",2400,1396
2084,D,Arcology On Permafrost,"['binary search', 'brute force', 'constructive algorithms', 'greedy', 'math']",1600,7001
2084,C,You Soared Afar With Grace,"['constructive algorithms', 'data structures', 'greedy', 'implementation']",1400,9539
2084,B,MIN = GCD,"['greedy', 'math', 'number theory']",1100,13956
2084,A,Max and Mod,"['constructive algorithms', 'math']",800,15755
2082,B,Floor or Ceil,"['brute force', 'greedy']",1600,6561
2082,A,Binary Matrix,"['constructive algorithms', 'greedy']",800,9929
2081,G2,Hard Formula (Hard Version),['math'],3400,31
2081,G1,Hard Formula,"['math', 'number theory']",3100,59
2081,F,Hot Matrix,"['constructive algorithms', 'math']",3300,86
2081,E,Quantifier,"['combinatorics', 'dp', 'implementation']",3300,51
2081,D,MST in Modulo Graph,"['constructive algorithms', 'dsu', 'graphs', 'greedy', 'math', 'number theory', 'sortings', 'trees']",2600,816
2081,C,Quaternary Matrix,"['bitmasks', 'constructive algorithms', 'greedy', 'implementation', 'matrices']",2700,258
2081,B,Balancing,['greedy'],2500,784
2081,A,Math Division,"['bitmasks', 'dp', 'math', 'probabilities']",1800,2994
2080,D,Order Statistics,"['*special', 'binary search']",3400,39
2080,C,Card Flip,['*special'],2300,121
2080,B,Best Runner,['*special'],1700,308
2080,A,Strong Connectivity Strikes Back,"['*special', 'constructive algorithms', 'graphs']",3200,31
2079,D,Cute Subsequences,"['*special', 'sortings']",1800,443
2079,C,Dreaming Is Not Harmful,['*special'],2300,164
2079,B,Arithmetic Exercise,"['*special', 'data structures', 'dp', 'greedy']",2600,126
2079,A,"Alice, Bob, And Two Arrays","['*special', 'data structures', 'dp', 'games']",3300,20
2078,D,Scammy Game Ad,"['dp', 'greedy', 'implementation']",1800,5146
2078,B,Vicious Labyrinth,"['constructive algorithms', 'graphs', 'greedy', 'implementation', 'math']",1100,16323
2078,A,Final Verdict,['math'],800,21299
2077,G,RGB Walking,"['bitmasks', 'chinese remainder theorem', 'dfs and similar', 'graphs', 'number theory']",3500,76
2077,F,AND x OR,"['bitmasks', 'constructive algorithms', 'dp']",3300,196
2077,E,Another Folding Strip,"['combinatorics', 'constructive algorithms', 'data structures', 'divide and conquer', 'dp', 'greedy', 'math']",2700,468
2077,D,Maximum Polygon,"['brute force', 'data structures', 'greedy', 'implementation', 'math']",3100,262
2077,C,Binary Subsequence Value Sum,"['combinatorics', 'data structures', 'dp', 'fft', 'math', 'matrices']",2300,1586
2077,B,Finding OR Sum,"['bitmasks', 'constructive algorithms', 'implementation', 'interactive', 'math']",1900,2839
2077,A,Breach of Faith,"['constructive algorithms', 'greedy', 'math', 'sortings']",1500,12029
2075,F,Beautiful Sequence Returns,"['binary search', 'brute force', 'data structures', 'implementation']",3000,408
2075,E,XOR Matrix,"['bitmasks', 'combinatorics', 'dp', 'implementation', 'math']",2500,864
2075,D,Equalization,"['bitmasks', 'brute force', 'dp', 'graphs', 'math']",2000,4578
2075,C,Two Colors,"['binary search', 'combinatorics', 'math']",1500,11906
2075,B,Array Recoloring,"['constructive algorithms', 'greedy']",1300,16217
2075,A,To Zero,"['greedy', 'math']",800,25441
2074,G,Game With Triangles: Season 2,"['dp', 'geometry']",2100,1701
2074,F,Counting Necessary Nodes,"['bitmasks', 'divide and conquer', 'greedy', 'implementation', 'math']",2000,2078
2074,E,Empty Triangle,"['geometry', 'interactive', 'probabilities']",1600,5430
2074,D,Counting Points,"['brute force', 'data structures', 'geometry', 'implementation', 'two pointers']",1400,10306
